ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
117,102,33,33,49,10.18367947,56.1498479,8/1/2014 11:35
116,107,31,36,53,10.18367947,56.1498479,8/1/2014 11:40
117,110,26,33,52,10.18367947,56.1498479,8/1/2014 11:45
118,109,25,28,57,10.18367947,56.1498479,8/1/2014 11:50
123,113,27,23,53,10.18367947,56.1498479,8/1/2014 11:55
121,111,23,28,53,10.18367947,56.1498479,8/1/2014 12:00
124,112,26,24,56,10.18367947,56.1498479,8/1/2014 12:05
129,114,27,23,58,10.18367947,56.1498479,8/1/2014 12:10
126,111,25,25,63,10.18367947,56.1498479,8/1/2014 12:15
122,110,28,20,66,10.18367947,56.1498479,8/1/2014 12:20
121,110,33,24,66,10.18367947,56.1498479,8/1/2014 12:25
121,111,29,24,68,10.18367947,56.1498479,8/1/2014 12:30
123,106,31,26,63,10.18367947,56.1498479,8/1/2014 12:35
124,109,31,26,63,10.18367947,56.1498479,8/1/2014 12:40
119,110,29,21,60,10.18367947,56.1498479,8/1/2014 12:45
122,115,32,25,65,10.18367947,56.1498479,8/1/2014 12:50
125,113,30,30,61,10.18367947,56.1498479,8/1/2014 12:55
121,117,32,35,59,10.18367947,56.1498479,8/1/2014 13:00
119,120,36,39,54,10.18367947,56.1498479,8/1/2014 13:05
118,116,35,41,56,10.18367947,56.1498479,8/1/2014 13:10
123,112,31,44,59,10.18367947,56.1498479,8/1/2014 13:15
127,113,32,40,61,10.18367947,56.1498479,8/1/2014 13:20
123,110,37,42,59,10.18367947,56.1498479,8/1/2014 13:25
124,112,42,45,61,10.18367947,56.1498479,8/1/2014 13:30
129,109,38,43,61,10.18367947,56.1498479,8/1/2014 13:35
124,105,34,45,64,10.18367947,56.1498479,8/1/2014 13:40
126,108,32,42,63,10.18367947,56.1498479,8/1/2014 13:45
130,104,27,43,62,10.18367947,56.1498479,8/1/2014 13:50
135,109,29,46,63,10.18367947,56.1498479,8/1/2014 13:55
138,108,25,41,68,10.18367947,56.1498479,8/1/2014 14:00
140,109,29,41,68,10.18367947,56.1498479,8/1/2014 14:05
144,105,33,46,72,10.18367947,56.1498479,8/1/2014 14:10
143,101,30,45,72,10.18367947,56.1498479,8/1/2014 14:15
141,106,34,45,72,10.18367947,56.1498479,8/1/2014 14:20
138,108,35,43,74,10.18367947,56.1498479,8/1/2014 14:25
140,106,37,47,75,10.18367947,56.1498479,8/1/2014 14:30
141,103,39,43,77,10.18367947,56.1498479,8/1/2014 14:35
139,100,34,43,81,10.18367947,56.1498479,8/1/2014 14:40
134,98,34,39,86,10.18367947,56.1498479,8/1/2014 14:45
131,93,32,37,83,10.18367947,56.1498479,8/1/2014 14:50
134,97,32,37,78,10.18367947,56.1498479,8/1/2014 14:55
129,93,34,39,76,10.18367947,56.1498479,8/1/2014 15:00
132,98,33,41,72,10.18367947,56.1498479,8/1/2014 15:05
133,95,33,36,76,10.18367947,56.1498479,8/1/2014 15:10
136,93,31,31,79,10.18367947,56.1498479,8/1/2014 15:15
135,90,26,26,83,10.18367947,56.1498479,8/1/2014 15:20
140,85,23,21,83,10.18367947,56.1498479,8/1/2014 15:25
145,80,26,18,83,10.18367947,56.1498479,8/1/2014 15:30
141,81,26,26,80,10.18367947,56.1498479,8/1/2014 15:35
140,77,25,28,76,10.18367947,56.1498479,8/1/2014 15:40
145,75,20,30,77,10.18367947,56.1498479,8/1/2014 15:45
141,80,22,25,72,10.18367947,56.1498479,8/1/2014 15:50
137,80,23,29,68,10.18367947,56.1498479,8/1/2014 15:55
133,77,18,29,65,10.18367947,56.1498479,8/1/2014 16:00
135,76,27,24,62,10.18367947,56.1498479,8/1/2014 16:05
137,77,29,24,62,10.18367947,56.1498479,8/1/2014 16:10
135,75,33,23,60,10.18367947,56.1498479,8/1/2014 16:15
135,79,33,27,63,10.18367947,56.1498479,8/1/2014 16:20
137,82,35,28,68,10.18367947,56.1498479,8/1/2014 16:25
133,86,35,27,64,10.18367947,56.1498479,8/1/2014 16:30
135,90,36,24,59,10.18367947,56.1498479,8/1/2014 16:35
130,94,36,28,54,10.18367947,56.1498479,8/1/2014 16:40
131,98,31,26,56,10.18367947,56.1498479,8/1/2014 16:45
126,94,32,26,60,10.18367947,56.1498479,8/1/2014 16:50
125,96,37,22,65,10.18367947,56.1498479,8/1/2014 16:55
123,101,32,23,66,10.18367947,56.1498479,8/1/2014 17:00
127,100,37,24,63,10.18367947,56.1498479,8/1/2014 17:05
127,98,38,28,68,10.18367947,56.1498479,8/1/2014 17:10
130,102,40,27,70,10.18367947,56.1498479,8/1/2014 17:15
127,99,44,22,71,10.18367947,56.1498479,8/1/2014 17:20
130,94,40,24,69,10.18367947,56.1498479,8/1/2014 17:25
126,96,43,27,64,10.18367947,56.1498479,8/1/2014 17:30
126,92,43,28,67,10.18367947,56.1498479,8/1/2014 17:35
131,89,42,25,63,10.18367947,56.1498479,8/1/2014 17:40
135,85,37,29,59,10.18367947,56.1498479,8/1/2014 17:45
132,80,34,28,62,10.18367947,56.1498479,8/1/2014 17:50
132,80,33,24,65,10.18367947,56.1498479,8/1/2014 17:55
132,79,34,26,64,10.18367947,56.1498479,8/1/2014 18:00
135,83,39,30,69,10.18367947,56.1498479,8/1/2014 18:05
132,79,39,35,74,10.18367947,56.1498479,8/1/2014 18:10
132,82,34,40,74,10.18367947,56.1498479,8/1/2014 18:15
127,82,34,44,74,10.18367947,56.1498479,8/1/2014 18:20
122,86,32,41,69,10.18367947,56.1498479,8/1/2014 18:25
124,84,36,41,73,10.18367947,56.1498479,8/1/2014 18:30
123,82,31,37,74,10.18367947,56.1498479,8/1/2014 18:35
127,83,28,34,70,10.18367947,56.1498479,8/1/2014 18:40
122,84,32,38,70,10.18367947,56.1498479,8/1/2014 18:45
121,87,29,35,74,10.18367947,56.1498479,8/1/2014 18:50
118,83,26,30,77,10.18367947,56.1498479,8/1/2014 18:55
117,78,27,26,80,10.18367947,56.1498479,8/1/2014 19:00
116,80,23,23,79,10.18367947,56.1498479,8/1/2014 19:05
114,80,26,25,83,10.18367947,56.1498479,8/1/2014 19:10
118,77,29,26,87,10.18367947,56.1498479,8/1/2014 19:15
122,82,27,30,85,10.18367947,56.1498479,8/1/2014 19:20
120,78,31,34,86,10.18367947,56.1498479,8/1/2014 19:25
125,76,26,35,83,10.18367947,56.1498479,8/1/2014 19:30
123,71,31,35,78,10.18367947,56.1498479,8/1/2014 19:35
124,75,32,40,79,10.18367947,56.1498479,8/1/2014 19:40
122,71,33,41,82,10.18367947,56.1498479,8/1/2014 19:45
119,69,38,41,81,10.18367947,56.1498479,8/1/2014 19:50
122,68,33,38,79,10.18367947,56.1498479,8/1/2014 19:55
120,72,34,38,80,10.18367947,56.1498479,8/1/2014 20:00
119,72,31,41,82,10.18367947,56.1498479,8/1/2014 20:05
114,75,33,45,81,10.18367947,56.1498479,8/1/2014 20:10
117,74,28,41,80,10.18367947,56.1498479,8/1/2014 20:15
116,78,32,46,78,10.18367947,56.1498479,8/1/2014 20:20
112,77,29,42,79,10.18367947,56.1498479,8/1/2014 20:25
107,74,27,46,75,10.18367947,56.1498479,8/1/2014 20:30
104,76,24,51,77,10.18367947,56.1498479,8/1/2014 20:35
104,75,25,49,73,10.18367947,56.1498479,8/1/2014 20:40
106,70,22,54,72,10.18367947,56.1498479,8/1/2014 20:45
110,72,17,59,75,10.18367947,56.1498479,8/1/2014 20:50
111,72,18,63,80,10.18367947,56.1498479,8/1/2014 20:55
111,68,27,66,84,10.18367947,56.1498479,8/1/2014 21:00
106,65,29,68,86,10.18367947,56.1498479,8/1/2014 21:05
105,69,31,67,86,10.18367947,56.1498479,8/1/2014 21:10
103,64,26,66,81,10.18367947,56.1498479,8/1/2014 21:15
106,61,31,67,79,10.18367947,56.1498479,8/1/2014 21:20
102,64,34,70,82,10.18367947,56.1498479,8/1/2014 21:25
98,59,34,67,86,10.18367947,56.1498479,8/1/2014 21:30
98,57,32,63,83,10.18367947,56.1498479,8/1/2014 21:35
97,58,34,60,84,10.18367947,56.1498479,8/1/2014 21:40
94,56,30,61,85,10.18367947,56.1498479,8/1/2014 21:45
91,56,35,66,84,10.18367947,56.1498479,8/1/2014 21:50
93,52,38,61,83,10.18367947,56.1498479,8/1/2014 21:55
92,52,33,62,86,10.18367947,56.1498479,8/1/2014 22:00
90,54,30,60,86,10.18367947,56.1498479,8/1/2014 22:05
86,59,35,62,85,10.18367947,56.1498479,8/1/2014 22:10
82,56,32,64,83,10.18367947,56.1498479,8/1/2014 22:15
79,61,30,67,80,10.18367947,56.1498479,8/1/2014 22:20
83,61,26,62,84,10.18367947,56.1498479,8/1/2014 22:25
78,64,24,63,86,10.18367947,56.1498479,8/1/2014 22:30
77,69,28,59,87,10.18367947,56.1498479,8/1/2014 22:35
82,67,25,57,89,10.18367947,56.1498479,8/1/2014 22:40
83,64,29,56,85,10.18367947,56.1498479,8/1/2014 22:45
82,66,33,54,80,10.18367947,56.1498479,8/1/2014 22:50
78,70,31,53,78,10.18367947,56.1498479,8/1/2014 22:55
78,69,29,56,74,10.18367947,56.1498479,8/1/2014 23:00
83,71,26,51,71,10.18367947,56.1498479,8/1/2014 23:05
85,75,26,46,69,10.18367947,56.1498479,8/1/2014 23:10
90,71,27,49,72,10.18367947,56.1498479,8/1/2014 23:15
86,69,32,47,76,10.18367947,56.1498479,8/1/2014 23:20
89,73,27,47,78,10.18367947,56.1498479,8/1/2014 23:25
91,78,31,47,82,10.18367947,56.1498479,8/1/2014 23:30
91,76,30,43,85,10.18367947,56.1498479,8/1/2014 23:35
96,76,31,48,90,10.18367947,56.1498479,8/1/2014 23:40
94,72,33,50,88,10.18367947,56.1498479,8/1/2014 23:45
91,74,38,46,88,10.18367947,56.1498479,8/1/2014 23:50
86,71,33,46,93,10.18367947,56.1498479,8/1/2014 23:55
83,66,28,43,93,10.18367947,56.1498479,8/2/2014 0:00
88,65,29,48,88,10.18367947,56.1498479,8/2/2014 0:05
92,64,24,43,85,10.18367947,56.1498479,8/2/2014 0:10
96,67,19,41,82,10.18367947,56.1498479,8/2/2014 0:15
96,63,23,39,77,10.18367947,56.1498479,8/2/2014 0:20
91,67,18,43,74,10.18367947,56.1498479,8/2/2014 0:25
95,67,26,40,74,10.18367947,56.1498479,8/2/2014 0:30
92,63,29,38,71,10.18367947,56.1498479,8/2/2014 0:35
96,66,33,36,76,10.18367947,56.1498479,8/2/2014 0:40
98,67,30,39,79,10.18367947,56.1498479,8/2/2014 0:45
93,70,25,40,76,10.18367947,56.1498479,8/2/2014 0:50
91,68,26,43,71,10.18367947,56.1498479,8/2/2014 0:55
88,68,25,45,74,10.18367947,56.1498479,8/2/2014 1:00
84,64,21,40,78,10.18367947,56.1498479,8/2/2014 1:05
84,59,21,45,77,10.18367947,56.1498479,8/2/2014 1:10
87,64,19,46,75,10.18367947,56.1498479,8/2/2014 1:15
88,66,25,46,73,10.18367947,56.1498479,8/2/2014 1:20
90,65,28,48,76,10.18367947,56.1498479,8/2/2014 1:25
89,67,32,50,76,10.18367947,56.1498479,8/2/2014 1:30
90,72,27,51,76,10.18367947,56.1498479,8/2/2014 1:35
95,77,22,54,77,10.18367947,56.1498479,8/2/2014 1:40
91,74,27,53,72,10.18367947,56.1498479,8/2/2014 1:45
95,69,22,57,72,10.18367947,56.1498479,8/2/2014 1:50
96,74,18,52,69,10.18367947,56.1498479,8/2/2014 1:55
99,72,21,54,72,10.18367947,56.1498479,8/2/2014 2:00
100,68,18,57,77,10.18367947,56.1498479,8/2/2014 2:05
101,71,21,59,80,10.18367947,56.1498479,8/2/2014 2:10
98,70,16,57,84,10.18367947,56.1498479,8/2/2014 2:15
95,68,17,60,81,10.18367947,56.1498479,8/2/2014 2:20
95,63,20,64,77,10.18367947,56.1498479,8/2/2014 2:25
96,66,25,61,75,10.18367947,56.1498479,8/2/2014 2:30
96,62,26,66,76,10.18367947,56.1498479,8/2/2014 2:35
95,58,25,68,81,10.18367947,56.1498479,8/2/2014 2:40
99,60,20,67,82,10.18367947,56.1498479,8/2/2014 2:45
95,59,18,70,78,10.18367947,56.1498479,8/2/2014 2:50
99,64,28,70,78,10.18367947,56.1498479,8/2/2014 2:55
94,62,23,71,77,10.18367947,56.1498479,8/2/2014 3:00
94,65,28,70,78,10.18367947,56.1498479,8/2/2014 3:05
93,69,28,68,79,10.18367947,56.1498479,8/2/2014 3:10
97,70,33,67,83,10.18367947,56.1498479,8/2/2014 3:15
101,68,33,67,84,10.18367947,56.1498479,8/2/2014 3:20
103,67,35,68,88,10.18367947,56.1498479,8/2/2014 3:25
99,66,33,70,86,10.18367947,56.1498479,8/2/2014 3:30
103,61,32,75,84,10.18367947,56.1498479,8/2/2014 3:35
106,66,35,74,88,10.18367947,56.1498479,8/2/2014 3:40
102,63,32,79,85,10.18367947,56.1498479,8/2/2014 3:45
107,64,33,80,80,10.18367947,56.1498479,8/2/2014 3:50
105,65,29,80,76,10.18367947,56.1498479,8/2/2014 3:55
109,62,34,75,79,10.18367947,56.1498479,8/2/2014 4:00
106,61,38,75,82,10.18367947,56.1498479,8/2/2014 4:05
106,66,42,74,82,10.18367947,56.1498479,8/2/2014 4:10
104,63,45,79,87,10.18367947,56.1498479,8/2/2014 4:15
105,62,46,84,88,10.18367947,56.1498479,8/2/2014 4:20
109,58,44,89,83,10.18367947,56.1498479,8/2/2014 4:25
110,58,40,85,79,10.18367947,56.1498479,8/2/2014 4:30
114,58,45,89,76,10.18367947,56.1498479,8/2/2014 4:35
117,60,42,94,78,10.18367947,56.1498479,8/2/2014 4:40
115,56,42,97,77,10.18367947,56.1498479,8/2/2014 4:45
117,57,42,96,79,10.18367947,56.1498479,8/2/2014 4:50
118,57,45,93,79,10.18367947,56.1498479,8/2/2014 4:55
122,53,42,94,79,10.18367947,56.1498479,8/2/2014 5:00
120,49,42,95,75,10.18367947,56.1498479,8/2/2014 5:05
121,54,43,100,75,10.18367947,56.1498479,8/2/2014 5:10
118,59,46,99,77,10.18367947,56.1498479,8/2/2014 5:15
120,56,45,99,75,10.18367947,56.1498479,8/2/2014 5:20
117,55,49,95,76,10.18367947,56.1498479,8/2/2014 5:25
120,57,45,97,77,10.18367947,56.1498479,8/2/2014 5:30
116,60,48,102,73,10.18367947,56.1498479,8/2/2014 5:35
112,59,44,101,72,10.18367947,56.1498479,8/2/2014 5:40
110,58,42,99,68,10.18367947,56.1498479,8/2/2014 5:45
107,60,38,94,67,10.18367947,56.1498479,8/2/2014 5:50
103,57,40,98,62,10.18367947,56.1498479,8/2/2014 5:55
102,55,40,93,66,10.18367947,56.1498479,8/2/2014 6:00
100,59,44,92,67,10.18367947,56.1498479,8/2/2014 6:05
104,61,46,97,66,10.18367947,56.1498479,8/2/2014 6:10
106,63,49,100,70,10.18367947,56.1498479,8/2/2014 6:15
105,61,48,104,70,10.18367947,56.1498479,8/2/2014 6:20
103,63,45,100,73,10.18367947,56.1498479,8/2/2014 6:25
99,59,50,101,69,10.18367947,56.1498479,8/2/2014 6:30
98,54,53,103,73,10.18367947,56.1498479,8/2/2014 6:35
97,51,52,105,74,10.18367947,56.1498479,8/2/2014 6:40
93,52,55,107,71,10.18367947,56.1498479,8/2/2014 6:45
94,52,57,108,69,10.18367947,56.1498479,8/2/2014 6:50
94,53,58,106,74,10.18367947,56.1498479,8/2/2014 6:55
93,55,63,106,75,10.18367947,56.1498479,8/2/2014 7:00
96,60,64,105,79,10.18367947,56.1498479,8/2/2014 7:05
96,63,69,108,76,10.18367947,56.1498479,8/2/2014 7:10
96,65,68,112,74,10.18367947,56.1498479,8/2/2014 7:15
94,70,69,110,77,10.18367947,56.1498479,8/2/2014 7:20
99,70,73,105,74,10.18367947,56.1498479,8/2/2014 7:25
102,71,74,100,75,10.18367947,56.1498479,8/2/2014 7:30
106,73,76,99,79,10.18367947,56.1498479,8/2/2014 7:35
103,76,76,97,76,10.18367947,56.1498479,8/2/2014 7:40
103,78,72,96,78,10.18367947,56.1498479,8/2/2014 7:45
104,76,74,100,77,10.18367947,56.1498479,8/2/2014 7:50
99,76,79,100,82,10.18367947,56.1498479,8/2/2014 7:55
96,76,75,96,83,10.18367947,56.1498479,8/2/2014 8:00
96,77,78,95,87,10.18367947,56.1498479,8/2/2014 8:05
95,74,79,91,82,10.18367947,56.1498479,8/2/2014 8:10
97,76,80,93,80,10.18367947,56.1498479,8/2/2014 8:15
98,73,75,90,85,10.18367947,56.1498479,8/2/2014 8:20
99,69,70,95,88,10.18367947,56.1498479,8/2/2014 8:25
95,73,74,96,91,10.18367947,56.1498479,8/2/2014 8:30
100,68,77,94,95,10.18367947,56.1498479,8/2/2014 8:35
95,73,72,99,97,10.18367947,56.1498479,8/2/2014 8:40
98,69,76,98,94,10.18367947,56.1498479,8/2/2014 8:45
100,65,80,97,91,10.18367947,56.1498479,8/2/2014 8:50
97,69,77,102,95,10.18367947,56.1498479,8/2/2014 8:55
97,70,79,107,100,10.18367947,56.1498479,8/2/2014 9:00
95,75,82,105,96,10.18367947,56.1498479,8/2/2014 9:05
94,78,85,109,91,10.18367947,56.1498479,8/2/2014 9:10
99,83,85,106,92,10.18367947,56.1498479,8/2/2014 9:15
101,83,88,101,95,10.18367947,56.1498479,8/2/2014 9:20
105,85,89,104,100,10.18367947,56.1498479,8/2/2014 9:25
108,90,88,103,105,10.18367947,56.1498479,8/2/2014 9:30
104,92,90,102,108,10.18367947,56.1498479,8/2/2014 9:35
104,93,85,104,106,10.18367947,56.1498479,8/2/2014 9:40
104,96,83,106,103,10.18367947,56.1498479,8/2/2014 9:45
107,91,84,111,103,10.18367947,56.1498479,8/2/2014 9:50
109,96,79,114,107,10.18367947,56.1498479,8/2/2014 9:55
108,98,79,119,108,10.18367947,56.1498479,8/2/2014 10:00
113,97,74,115,111,10.18367947,56.1498479,8/2/2014 10:05
109,96,74,117,107,10.18367947,56.1498479,8/2/2014 10:10
109,94,77,118,105,10.18367947,56.1498479,8/2/2014 10:15
110,98,81,114,103,10.18367947,56.1498479,8/2/2014 10:20
111,95,84,116,98,10.18367947,56.1498479,8/2/2014 10:25
106,95,83,116,94,10.18367947,56.1498479,8/2/2014 10:30
110,100,86,112,95,10.18367947,56.1498479,8/2/2014 10:35
112,99,81,107,93,10.18367947,56.1498479,8/2/2014 10:40
117,101,77,108,96,10.18367947,56.1498479,8/2/2014 10:45
119,104,79,112,92,10.18367947,56.1498479,8/2/2014 10:50
119,104,78,108,92,10.18367947,56.1498479,8/2/2014 10:55
124,101,79,104,92,10.18367947,56.1498479,8/2/2014 11:00
